REGIONAL,DISTRITO,POLITÉCNICO,SIGERD,FAMILIA PROFESIONAL,DENOMINACIÓN,MATRICULA
"04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Construcciones Metálicas,28"
"04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,89"
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electromédicos,97
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,71
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,64
"04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Mecanizado,97"
"04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Montaje y mantenimiento mecanico,55"
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,31
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07871 - INSTITUTO POLITECNICO LOYOLA,07871,ELECTRICIDAD Y ELECTRÓNICA,Sistemas de Telecomunicaciones.,133
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07888 - POLITECNICO BIENVENIDO CARO AMANCIO,07888,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,71
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07888 - POLITECNICO BIENVENIDO CARO AMANCIO,07888,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,51
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,07888 - POLITECNICO BIENVENIDO CARO AMANCIO,07888,TURISMO Y HOSTELERÍA,Servicios Turísticos,63
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,09977 - POLITECNICO FRANCISCO J. PEYNADO,09977,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,149
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,09977 - POLITECNICO FRANCISCO J. PEYNADO,09977,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,82
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,09977 - POLITECNICO FRANCISCO J. PEYNADO,09977,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,151
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,09977 - POLITECNICO FRANCISCO J. PEYNADO,09977,TURISMO Y HOSTELERÍA,Servicios Turísticos,72
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,15315 - POLITECNICO ALTAGRACIA LUCAS DE GARCIA,15315,SEGURIDAD Y MEDIOAMBIENTE,Conservación y Protección Ambiental,94
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,15315 - POLITECNICO ALTAGRACIA LUCAS DE GARCIA,15315,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,188
04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,15315 - POLITECNICO ALTAGRACIA LUCAS DE GARCIA,15315,INDUSTRÍAS ALIMENTARIAS Y QUÍMICAS,Industrias Alimentarias,91
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07950 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA,07950,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Animación Físico-Deportiva y Socorrismo,57
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07950 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA,07950,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,47
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07950 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA,07950,SALUD,Cuidados de Enfermería y Promoción de la Salud,121
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07950 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA,07950,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,50
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07950 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA,07950,TURISMO Y HOSTELERÍA,Servicios Turísticos,75
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07950 - POLITECNICO NUESTRA SEÑORA DE LA ALTAGRACIA,07950,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,125
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07957 - POLITECNICO MEDINA,07957,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,81
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07957 - POLITECNICO MEDINA,07957,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,122
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07960 - POLITECNICO PROF. JUAN EMILIO BOSCH GAVIÑO,07960,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,159
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07964 - POLITECNICO TULIO MANUEL CESTERO,07964,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,66
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07964 - POLITECNICO TULIO MANUEL CESTERO,07964,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,77
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,07964 - POLITECNICO TULIO MANUEL CESTERO,07964,IMAGEN PERSONAL,Peluquería,63
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,14217 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),14217,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,106
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,14217 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),14217,INDUSTRÍAS ALIMENTARIAS Y QUÍMICAS,Industrias Alimentarias,70
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,14217 - POLITECNICO MANUEL AURELIO TAVAREZ JUSTO (MANOLO),14217,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,90
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,16452 - POLITECNICO JOSE NUÑEZ DE CACERES,16452,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,94
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,16452 - POLITECNICO JOSE NUÑEZ DE CACERES,16452,SALUD,Cuidados de Enfermería y Promoción de la Salud,79
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,16452 - POLITECNICO JOSE NUÑEZ DE CACERES,16452,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,92
04 - SAN CRISTOBAL,0404 - VILLA  ALTAGRACIA,16452 - POLITECNICO JOSE NUÑEZ DE CACERES,16452,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,76
04 - SAN CRISTOBAL,0405 - YAGUATE,07965 - POLITECNICO ANA LILLIAMS MIRANDA,07965,SALUD,Cuidados de Enfermería y Promoción de la Salud,82
04 - SAN CRISTOBAL,0405 - YAGUATE,07965 - POLITECNICO ANA LILLIAMS MIRANDA,07965,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,169
04 - SAN CRISTOBAL,0405 - YAGUATE,07965 - POLITECNICO ANA LILLIAMS MIRANDA,07965,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,114
04 - SAN CRISTOBAL,0405 - YAGUATE,07965 - POLITECNICO ANA LILLIAMS MIRANDA,07965,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,62
04 - SAN CRISTOBAL,0405 - YAGUATE,07965 - POLITECNICO ANA LILLIAMS MIRANDA,07965,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,83
04 - SAN CRISTOBAL,0405 - YAGUATE,15341 - POLITECNICO ANDRES BREMON,15341,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,88
04 - SAN CRISTOBAL,0405 - YAGUATE,15341 - POLITECNICO ANDRES BREMON,15341,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,79
04 - SAN CRISTOBAL,0405 - YAGUATE,15341 - POLITECNICO ANDRES BREMON,15341,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,24
04 - SAN CRISTOBAL,0405 - YAGUATE,15341 - POLITECNICO ANDRES BREMON,15341,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,80
04 - SAN CRISTOBAL,0406 - HAINA,05978 - POLITECNICO OSVALDO BIENVENIDO BAEZ,05978,SEGURIDAD Y MEDIOAMBIENTE,Control de Procesos Ambientales,92
04 - SAN CRISTOBAL,0406 - HAINA,07897 - JUAN BAUTISTA CAMBIASO,07897,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,176
04 - SAN CRISTOBAL,0406 - HAINA,07904 - CESAR NICOLAS PENSON,07904,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,85
04 - SAN CRISTOBAL,0406 - HAINA,07904 - CESAR NICOLAS PENSON,07904,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,86
04 - SAN CRISTOBAL,0406 - HAINA,07904 - CESAR NICOLAS PENSON,07904,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,95
04 - SAN CRISTOBAL,0406 - HAINA,07987 - POLITECNICO PROF. NAPOLEON ALBERTO CASILLA DIAZ,07987,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,38
04 - SAN CRISTOBAL,0406 - HAINA,07987 - POLITECNICO PROF. NAPOLEON ALBERTO CASILLA DIAZ,07987,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,162
04 - SAN CRISTOBAL,0406 - HAINA,07987 - POLITECNICO PROF. NAPOLEON ALBERTO CASILLA DIAZ,07987,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,156
04 - SAN CRISTOBAL,0406 - HAINA,08019 - INSTITUTO POLITECNICO DE HAINA,08019,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,78
04 - SAN CRISTOBAL,0406 - HAINA,08019 - INSTITUTO POLITECNICO DE HAINA,08019,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,68
04 - SAN CRISTOBAL,0406 - HAINA,08019 - INSTITUTO POLITECNICO DE HAINA,08019,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,82
04 - SAN CRISTOBAL,0406 - HAINA,08019 - INSTITUTO POLITECNICO DE HAINA,08019,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,71
"04 - SAN CRISTOBAL,0406 - HAINA,08019 - INSTITUTO POLITECNICO DE HAINA,08019,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Mecanizado,71"
04 - SAN CRISTOBAL,0406 - HAINA,08019 - INSTITUTO POLITECNICO DE HAINA,08019,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,61
04 - SAN CRISTOBAL,0406 - HAINA,08091 - MELBA BAEZ DE ERAZO CENTRO DE EXCELENCIA,08091,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,115
04 - SAN CRISTOBAL,0406 - HAINA,08091 - MELBA BAEZ DE ERAZO CENTRO DE EXCELENCIA,08091,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,156
04 - SAN CRISTOBAL,0406 - HAINA,08091 - MELBA BAEZ DE ERAZO CENTRO DE EXCELENCIA,08091,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,28
04 - SAN CRISTOBAL,0406 - HAINA,10173 - POLITECNICO MARTIN LOPEZ,10173,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,250
04 - SAN CRISTOBAL,0406 - HAINA,10173 - POLITECNICO MARTIN LOPEZ,10173,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,196
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07932 - POLITECNICO PROF. MELIDA ALTAGRACIA BAEZ,07932,AGRARIA,Agropecuaria,25
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07932 - POLITECNICO PROF. MELIDA ALTAGRACIA BAEZ,07932,SALUD,Cuidados de Enfermería y Promoción de la Salud,86
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07932 - POLITECNICO PROF. MELIDA ALTAGRACIA BAEZ,07932,TURISMO Y HOSTELERÍA,Servicios de Alojamiento,77
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07932 - POLITECNICO PROF. MELIDA ALTAGRACIA BAEZ,07932,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,66
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07979 - POLITECNICO PADRE ZEGRI,07979,SALUD,Cuidados de Enfermería y Promoción de la Salud,64
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07979 - POLITECNICO PADRE ZEGRI,07979,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,69
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07979 - POLITECNICO PADRE ZEGRI,07979,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,58
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,07979 - POLITECNICO PADRE ZEGRI,07979,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,54
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,14496 - POLITECNICO MARIANO DE JESUS SABA,14496,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,61
04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,14496 - POLITECNICO MARIANO DE JESUS SABA,14496,TURISMO Y HOSTELERÍA,Servicios Turísticos,75
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08247 - ESTIMULACION Y DESARROLLO PSICOPEDAGOGICO MACORIX,08247,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,41
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08273 - INSTITUTO POLITECNICO PEDRO FELICIANO MARTINEZ,08273,SALUD,Cuidados de Enfermería y Promoción de la Salud,285
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08273 - INSTITUTO POLITECNICO PEDRO FELICIANO MARTINEZ,08273,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,128
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08273 - INSTITUTO POLITECNICO PEDRO FELICIANO MARTINEZ,08273,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,67
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08273 - INSTITUTO POLITECNICO PEDRO FELICIANO MARTINEZ,08273,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,38
05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,08273 - INSTITUTO POLITECNICO PEDRO FELICIANO MARTINEZ,08273,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,98
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,SALUD,Cuidados de Enfermería y Promoción de la Salud,69
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,58
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,ELECTRICIDAD Y ELECTRÓNICA,Equipos Electrónicos,17
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,14
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,9
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,35
"05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Mecanizado,7"
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,14
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,60
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07046 - POLITECNICO LILIAM BAYONA,07046,TURISMO Y HOSTELERÍA,Servicios Turísticos,57
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07056 - POLITECNICO ESCUELA HOGAR DEL NIÑO,07056,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Acondicionamiento Físico y Entrenamiento Deportivo,49
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07056 - POLITECNICO ESCUELA HOGAR DEL NIÑO,07056,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Atención a la Educación Infantil y Especial,26
"05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07056 - POLITECNICO ESCUELA HOGAR DEL NIÑO,07056,""TEXTIL, CONFECCIÓN Y PIEL"",Confección y Patronaje,6"
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07056 - POLITECNICO ESCUELA HOGAR DEL NIÑO,07056,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,35
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07056 - POLITECNICO ESCUELA HOGAR DEL NIÑO,07056,TURISMO Y HOSTELERÍA,Servicios Turísticos,57
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07056 - POLITECNICO ESCUELA HOGAR DEL NIÑO,07056,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,18
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07064 - POLITECNICO EVANGELICO SHALOM,07064,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,72
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07064 - POLITECNICO EVANGELICO SHALOM,07064,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,75
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,07064 - POLITECNICO EVANGELICO SHALOM,07064,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,78
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Atención a la Educación Infantil y Especial,43
"05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,""TEXTIL, CONFECCIÓN Y PIEL"",Confección y Patronaje,27"
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,SALUD,Cuidados de Enfermería y Promoción de la Salud,73
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,34
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,43
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,TURISMO Y HOSTELERÍA,Servicios de Alojamiento,72
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11680 - POLITECNICO  MARIA AUXILIADORA,11680,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,64
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,AGRARIA,Agropecuaria,21
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,29
"05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,""FABRICACIÓN, INSTALACIÓN Y MANTENIMIENTO"",Electromecánica de Vehículos,8"
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,TURISMO Y HOSTELERÍA,Servicios de Alojamiento,11
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,37
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,TURISMO Y HOSTELERÍA,Servicios Turísticos,23
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,11681 - POLITECNICO MAX SIMON,11681,INFORMÁTICA Y COMUNICACIONES,Soporte de Redes y Sistemas Informáticos,11
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,12577 - POLITECNICO CALASANZ,12577,SALUD,Cuidados de Enfermería y Promoción de la Salud,111
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,12577 - POLITECNICO CALASANZ,12577,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,104
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,12577 - POLITECNICO CALASANZ,12577,AUDIOVISUALES Y GRÁFICAS,Producción y Realización de Audiovisuales y Espectáculos,114
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,12577 - POLITECNICO CALASANZ,12577,TURISMO Y HOSTELERÍA,Servicios Turísticos,112
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,14410 - POLITECNICO PROF. MIGUEL INFANTE SANTANA,14410,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,72
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,14410 - POLITECNICO PROF. MIGUEL INFANTE SANTANA,14410,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,72
05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,14410 - POLITECNICO PROF. MIGUEL INFANTE SANTANA,14410,TURISMO Y HOSTELERÍA,Servicios Gastronómicos,87
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09198 - POLITECNICO CESAR NICOLAS PENSON,09198,ADMINISTRACIÓN Y COMERCIO,Comercio y Mercadeo,49
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09198 - POLITECNICO CESAR NICOLAS PENSON,09198,SALUD,Cuidados de Enfermería y Promoción de la Salud,184
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09198 - POLITECNICO CESAR NICOLAS PENSON,09198,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,91
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09198 - POLITECNICO CESAR NICOLAS PENSON,09198,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,53
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09198 - POLITECNICO CESAR NICOLAS PENSON,09198,TURISMO Y HOSTELERÍA,Servicios de Alojamiento,198
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09230 - SANTA MARIA DEL BATEY,09230,SALUD,Cuidados de Enfermería y Promoción de la Salud,14
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09230 - SANTA MARIA DEL BATEY,09230,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,11
05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,09230 - SANTA MARIA DEL BATEY,09230,TURISMO Y HOSTELERÍA,Servicios Turísticos,9
"05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,""TEXTIL, CONFECCIÓN Y PIEL"",Confección y Patronaje,52"
05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,SALUD,Cuidados de Enfermería y Promoción de la Salud,139
05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,INFORMÁTICA Y COMUNICACIONES,Desarrollo y administración de aplicaciones informáticas,84
05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,ADMINISTRACIÓN Y COMERCIO,Gestión Administrativa y Tributaria,58
05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,ELECTRICIDAD Y ELECTRÓNICA,Instalaciones Eléctricas,34
05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,ELECTRICIDAD Y ELECTRÓNICA,Refrigeración y Acondicionamiento de Aire,67
05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,11516 - POLITECNICO INMACULADA CONCEPCION,11516,TURISMO Y HOSTELERÍA,Servicios Turísticos,88
05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE,07052 - POLITECNICO PROF. RAUL HORACIO CAIRO FERRAND,07052,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Atención a la Educación Infantil y Especial,51
05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE,14275 - POLITECNICO MILAGROS PROVIDENCIA NUÑEZ PEGUERO,14275,ADMINISTRACIÓN Y COMERCIO,Logística y Transporte,22
